Title,Description,Status,Category,Location,ID
HP 8554B Spektrumanalysator,HP 8554B Spektrumanalysator RF-sektion. Display ofokuserad. Oklart om den fungerar.,other,Instrument,A,20190244
Low frequency three phase oscillator,General Radio Company Low frequency three phase oscillator modell 1305-A med four phase output adaptor,Not tested,Radio,B,20190241
Radio mottagare,US Army Singal Corps. Radio mottagare. BC-312-NX SN: 689. Matas med 127V 50Hz,Not tested,Radio,B,20190245
Packard Bel Easynote TJ65,Packard Bel Easynote TJ65. 4Gb ram. Dual-Core Intel Pentium T4300. Utan hårddisk,Working,Computer,B,20190230
Tektronix 190B Signalgenerator,Tektronix 190B Constant amplitude signal generator,Working,Instrument,B,20190234
HP Pavilion dv6,HP Pavilion dv6. Intel core i5. Utan laddare,Not tested,Computer,B,20190242
Logikanalysator HP 1615A,Logikanalysator HP 1615A. Verkar fungera. Ej testad med probar.,Working,Instrument,C,20190246
Tektronix TM504 med moduler,"Tektronix TM504 med TG501, PG 506, FG 502 och SG 503",Working,Instrument,C,20190233
Skrivare EPSON,EPSON PX700W. Skrivare med scanner. Skrivhuvudet måste göras ren,Other,Computer,C,20190231
Våg,Våg Mettler P10 0-10kg upplösning 1g,Working,Gerät,B,20190247
Klocka,Klocka “Time machine” Motor för ombyggnad till 50Hz ingår. Ny I kartong,Other,Miscellaneous,C,20190251
Våg med nixierör,Mettler PT1200 Våg med nixierör! 0.01g upplösning,Working,Instrument,B,20190235
Kamera Mirai,Kmera Mirai,Not tested,Nostalgia,C,20190216
TV-kort,TV-kort WinTV-HVR 1700 Ny I kartong,Other,Computer,C,20190243
Digtal wattmätare,EASYWATT digital wattmeter 30 Hz – 100 kHz,Lights up,Instrument,B,20190236
4 port RS232 PCI kort,4 port RS232 PCI kort. Ny I kartong,Other,Computer,B,20190255
Oscilloskop 20MHz,Hung Chang 3502 2 kanaler 20 MHz,Working,Instrument,B,20190237
Amplitud regulerande psu med 2 oscillatorer,Amplitud regulerande psu med 2 oscillatorer. Rörbyggd.,Not tested,Radio,C,20190253
12VDC – 220 VAC omformare,AUKIT Omformare 12V – 220VAC 220 VA “50Hz högtalare”,Working,Power supply,B,20190221
PLC till PLC konverterare,PLC till PLC konverterare 24V,Not tested,Gerät,C,20190218
Engångsgrill,Engångsgrill. Otestad och ingen magisk rök har försvunnit. ,Not tested,Gerät,C,20190238
Telefonsvarare,Pioneer AF-2752,Working,Nostalgia,C,20190222
Gerät,Okänt gerät. Lapp säger T800-standard,Not tested,Gerät,C,20190225
Transistor testset,D909 Beulah Electronics,Not tested,Miscellaneous,C,20190224
Nätverkskabel,Långa CAT6 kablar,Working,Computer,B,20190239
Mätförstärkare,Mätförstärkare HBM KM3071,Not tested,Component,C,20190226
Cisco switch,Catalyst 4506-E 96st 10/100/1000Mbit/s PoE,Not tested,Computer,A,20190227
HP 6890GC gascromatograf,"Reagerar på ström, saknar gaser och infrastruktur för vidare test.",Lights up,Instrument,B,20190219
Varian 34500 Gascromatograf,"Saknar infrastruktur för test, Error: warm start",Lights up,Instrument,B,20190223
Cisco 2900 Series,Cisco 2900 Series,Lights up,Computer,A,20190328
Skruvdragare,Cotech skruvdragare,Working,Miscellaneous,C,20190324
Breakout box RS-232,Beakout box RS-232 EASY BOB,Working,Computer,C,20190340
Bandolier räknare,Bandolier räknare,Working,Miscellaneous,C,20190344
LP-Spelare,Sony PS-LX250H Snurrar ej,Not working,Audio,C,20190320
Robotbyggsats,Basic stamp robotbyggsatts oöppnad förpackning. Perfekt julklapp,Working,Component,C,20190356
Torsionbalance,Torsionbalance verenigde draadfabriken niumegen,Not tested,Nostalgia,C,20190348
Bilföstärkare,2x75W SA150P SKE,Not tested,Audio,B,20190325
Laser gerät,Laser klass 1 IBEDO Lasertechnik made in german,Not tested,Gerät,C,20190321
Radio,Radio flyg fm pr radiomottagare,Working,Radio,C,20190341
HP 3734A electronic counter,Konstig kontakt bak,Not tested,Instrument,C,20190329
IBEO Lasertechnik Ladar,"Ladar 2D ows 6, västtysk",Not tested,Miscellaneous,B,20190345
Laser kit,Laser med tillbehör,Not tested,Component,C,20190352
Digital densitets mätare,I fin låda,Not tested,Instrument,C,20190332
Aktivitetsmätate,Aktivitetsmätare från Skogshögskolan,Not tested,Gerät,C,20190357
Tomtrack monterad server,PSU inkluderad,Not tested,Computer,C,20190353
Fukt och tempraturmätare,"Vaisala, med två prober",Lights up,Instrument,C,20190361
Halogenbelysning,150W,Working,Gerät,C,20190322
PC104,CPU-kort med expantionskort,Not tested,Computer,C,20190326
Surface tension balance,Roller smith,Not tested,Nostalgia,C,20190330
HP 1610A Logik analysator,"Prober, Kommer I fin väska med instruktioner",Not tested,Instrument,C,20190349
Sanwa termometer,Analog display,Not working,Instrument,C,20190333
Bilstereo,"Ford 6000 CD RDS, EON, manual, inkopplingsanvisning och kod medföljer",Working,Audio,C,20190342
Trådlös strömbrytare,Ny I LÅDA,Working,Miscellaneous,B,20190323
Halogen leak detector,Qiton Keiki modell HID-38A-EX,Lights up,Instrument,B,20190346
Geiger-Müller rör,Cintel Geiger-Müller tubes type G7725C med orginalförpackning,Not tested,Component,A,20190335
Maxtor NAS,Saknar nätaggregat (12V 3A),Not tested,Computer,B,20190355
Nätverkskabel,Blandat nätverkskabel CAT-6 långa och CAT-5E kortare,Working,Component,B,20190359
Etiketskrivare,Intermec 3240,Lights up,Gerät,C,20190347
Accesspunkt,Meru Network Dual Radio Access Point AP332i,Not tested,Computer,C,20190351
Mainframe,"HP 66000A MPS mainframe, tomt",Not tested,Instrument,B,20190363
Mjukstartare,"Alistart 22, ATS22D17Q",Not tested,Power supply,B,20190372
Nätverksanalysator 45Mhz-20GHz,Nätverksanalysator komplett rack. 45MHz-20GHz. Obs trasig multiplier. HP 8510C + HP 8514B + HP 83621B (trasig),Not working,Instrument,A,20190376
Mynträknare,Scan Coin SC 202,Working,Miscellaneous,A,20190384
Spänngsloggare,ASTRO-Med Dash-10,Lights up,Miscellaneous,C,20190388
Strömprob,Amprobe strömprob,Not tested,Instrument,C,20190392
Tracking generator HP 8444A,Tracking generator HP 8444A 0.5 – 1300 MHz,Lights up,Instrument,A,20190396
Sharp ZW-160CU,Sharp ZW-160CU,Not tested,Gerät,C,20190380
Brusrör,Kit med många brusrör. Olika modeller,Not tested,Component,A,20190408
Dator,HP Core 2 duo Windows 7 160Gb HDD 2Gb ram,Working,Computer,C,20190404
Apple Power Machintosh 6100/66,Saknar RAM och hårddisk,Not tested,Computer,B,20190412
HP 8510C Nätverksanalysator,Lyser och fläktar låter bra. I övrigt otestad,Other,Instrument,A,20190416
Fluke termometer + printer,Fluke 2180A termomoter + 2020A printer. Lyser och printar,Other,Instrument,C,20190400
SunFire X4500,Server inklusive 48st 500 Gb HHD. 16 Gb ram,Working,Computer,A,20190420
